assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
37,9,32,0.384,5,48,16,Necas,0,10,8480039,3,53,1.10416,C,7,21,20242025,0,0,0.14678,R,109,Martin Necas,CAR,1086.9791
17,5,15, ,0,47,5,Heiskanen,0,10,8480036,4,22,0.46808,D,0,7,20242025,0,0,0.04807,L,104,Miro Heiskanen,DAL,1514.6382
24,1,15, ,0,49,1,Grzelcyk,0,8,8476891,-13,25,0.5102,D,0,10,20242025,0,0,0.01754,L,57,Matt Grzelcyk,PIT,1211.4285
2,2,4, ,0,14,2,Tucker,0,21,8481006,3,4,0.28571,D,0,0,20242025,0,0,0.14285,L,14,Tyler Tucker,STL,738.3571
0,0,0, ,0,1,0,Sebrango,0,0,8482131,0,0,0.0,D,0,0,20242025,0,0, ,L,0,Donovan Sebrango,OTT,698.0
10,3,12,0.56097,2,47,4,Carrick,1,34,8475842,2,14,0.29787,C,0,0,20242025,1,2,0.08695,R,46,Sam Carrick,NYR,674.7021
1,0,1,0.6,0,5,0,Hryckowian,0,0,8484829,1,1,0.2,C,0,0,20242025,0,0,0.0,L,3,Justin Hryckowian,DAL,472.8
8,12,18,0.26666,3,41,13,McMann,0,14,8482259,6,21,0.51219,C,1,3,20242025,0,0,0.13265,L,98,Bobby McMann,TOR,880.5121
0,1,1,0.46666,0,6,1,Laczynski,0,6,8479550,0,1,0.16666,C,0,0,20242025,0,0,0.5,R,2,Tanner Laczynski,VGK,520.8333
8,0,8, ,0,41,0,Thrun,0,17,8481567,-11,8,0.19512,D,0,0,20242025,0,0,0.0,L,37,Henry Thrun,SJS,1014.3902
1,1,1, ,0,15,1,Johnson,0,9,8473446,-2,2,0.13333,D,0,0,20242025,0,1,0.2,R,5,Erik Johnson,PHI,802.0666
0,0,0,1.0,0,2,0,Malatesta,0,0,8482744,-1,0,0.0,L,0,0,20242025,0,0, ,L,0,James Malatesta,CBJ,634.0
7,3,9,0.18181,0,45,3,Holtz,0,8,8482125,-4,10,0.22222,R,0,1,20242025,0,0,0.05263,R,57,Alexander Holtz,VGK,691.9111
18,9,20, ,3,42,13,Chychrun,1,30,8479345,19,31,0.73809,D,4,11,20242025,0,0,0.13265,L,98,Jakob Chychrun,WSH,1247.8809
2,1,3,0.53768,0,25,1,Lazar,0,6,8477508,0,3,0.12,C,0,0,20242025,0,0,0.05882,R,17,Curtis Lazar,NJD,610.76
3,2,4,0.44444,0,35,2,Smith,0,20,8482062,-11,5,0.14285,R,0,0,20242025,0,1,0.06896,L,29,Cole Smith,NSH,785.6285
3,2,4,0.38461,0,7,2,Del Bel Belluz,0,0,8483432,3,5,0.71428,C,0,1,20242025,0,0,0.18181,L,11,Luca Del Bel Belluz,CBJ,825.2857
13,8,18,0.0,1,39,10,Holmstrom,0,6,8481601,3,23,0.58974,R,1,3,20242025,1,2,0.22222,L,45,Simon Holmstrom,NYI,983.4102
1,1,2,0.66666,0,19,1,Aube-Kubel,0,17,8477979,-4,2,0.10526,R,0,0,20242025,0,0,0.05555,R,18,Nicolas Aube-Kubel,BUF,571.7368
4,7,11,0.46564,0,34,7,Fabbri,0,20,8477952,-7,11,0.32352,C,0,0,20242025,0,0,0.14,L,50,Robby Fabbri,ANA,1003.8235
0,0,0, ,0,2,0,Hakanpää,0,0,8475825,-1,0,0.0,D,0,0,20242025,0,0,0.0,R,2,Jani Hakanpää,TOR,845.0
10,4,13,0.55154,0,47,4,Dvorak,0,10,8477989,-7,14,0.29787,C,0,1,20242025,0,0,0.06666,L,60,Christian Dvorak,MTL,873.9361
19,10,22,0.36448,0,46,11,Buchnevich,0,11,8477402,1,30,0.65217,L,1,7,20242025,0,1,0.1279,L,86,Pavel Buchnevich,STL,1124.8043
8,4,10,0.47413,0,42,6,Kasper,0,16,8483464,-8,14,0.33333,C,2,4,20242025,0,0,0.09375,L,64,Marco Kasper,DET,845.8333
26,8,25,0.47896,1,48,14,Granlund,0,18,8475798,-12,40,0.83333,C,5,14,20242025,1,1,0.11864,L,118,Mikael Granlund,SJS,1258.2916
4,3,7,0.26666,1,31,3,Engvall,0,12,8478115,-5,7,0.2258,L,0,0,20242025,0,0,0.1,L,30,Pierre Engvall,NYI,701.6129
15,11,22,0.3,3,47,20,Wilson,1,44,8476880,11,35,0.74468,R,9,12,20242025,0,1,0.18518,R,108,Tom Wilson,WSH,1133.0638
20,7,21,0.33333,2,46,11,Garland,1,23,8478856,-3,31,0.67391,R,4,10,20242025,0,0,0.11,R,100,Conor Garland,VAN,1167.5217
1,0,1,0.38888,0,8,0,Tynan,0,4,8476391,-1,1,0.125,C,0,0,20242025,0,0,0.0,R,4,T.J. Tynan,COL,476.375
6,15,21,0.50877,3,47,16,Howden,1,22,8479353,8,22,0.46808,C,0,0,20242025,1,1,0.19512,L,82,Brett Howden,VGK,910.468
