blockedShots,blockedShotsPer60,emptyNetAssists,emptyNetGoals,emptyNetPoints,firstGoals,gamesPlayed,giveaways,giveawaysPer60,hits,hitsPer60,lastName,missedShotCrossbar,missedShotGoalpost,missedShotOverNet,missedShotShort,missedShotWideOfNet,missedShots,otGoals,playerId,positionCode,seasonId,shootsCatches,shotAttemptsBlocked,skaterFullName,takeaways,takeawaysPer60,teamAbbrevs,timeOnIcePerGame
15,1.07,0.0,1,1.0,0,46,50,3.58,36,2.58,Necas,2,2,4,2,52,62,0,8480039,C,20242025,R,52,Martin Necas,15,1.07,CAR,1090.71
76,4.0,0.0,1,1.0,0,45,55,2.89,15,0.79,Heiskanen,2,4,4,4,38,52,0,8480036,D,20242025,L,112,Miro Heiskanen,26,1.37,DAL,1518.13
66,4.07,1.0,0,1.0,0,48,42,2.59,22,1.35,Grzelcyk,1,4,1,1,31,38,0,8476891,D,20242025,L,57,Matt Grzelcyk,16,0.98,PIT,1213.87
7,2.84,0.0,0,0.0,0,12,11,4.47,24,9.76,Tucker,0,2,0,0,3,5,0,8481006,D,20242025,L,12,Tyler Tucker,5,2.03,STL,737.16
0,0.0, ,0, ,0,1,0,0.0,0,0.0,Sebrango,0,0,0,0,0,0,0,8482131,D,20242025,L,2,Donovan Sebrango,0,0.0,OTT,698.0
23,2.74,1.0,0,1.0,1,45,23,2.74,77,9.17,Carrick,0,3,1,0,16,20,1,8475842,C,20242025,R,24,Sam Carrick,10,1.19,NYR,671.13
0,0.0, ,0, ,0,4,2,4.08,6,12.25,Hryckowian,0,0,0,0,1,1,0,8484829,C,20242025,L,0,Justin Hryckowian,0,0.0,DAL,440.5
13,1.38,0.0,0,0.0,3,39,18,1.91,65,6.92,McMann,0,0,0,1,30,31,0,8482259,C,20242025,L,23,Bobby McMann,14,1.49,TOR,866.17
3,3.45, ,0, ,1,6,0,0.0,2,2.3,Laczynski,0,0,0,0,2,2,0,8479550,C,20242025,R,1,Tanner Laczynski,0,0.0,VGK,520.83
44,3.99,0.0,0,0.0,0,39,21,1.9,31,2.81,Thrun,0,0,0,0,16,16,0,8481567,D,20242025,L,28,Henry Thrun,9,0.81,SJS,1017.17
10,2.99,0.0,0,0.0,1,15,10,2.99,23,6.88,Johnson,0,0,0,0,5,5,0,8473446,D,20242025,R,7,Erik Johnson,6,1.79,PHI,802.06
1,2.83, ,0, ,0,2,4,11.35,6,17.03,Malatesta,0,0,0,0,1,1,0,8482744,L,20242025,L,0,James Malatesta,1,2.83,CBJ,634.0
13,1.53,0.0,0,0.0,0,44,28,3.31,33,3.9,Holtz,1,5,0,3,23,32,0,8482125,R,20242025,R,20,Alexander Holtz,3,0.35,VGK,691.22
52,3.65,1.0,1,2.0,2,41,45,3.16,30,2.1,Chychrun,1,4,4,4,55,68,1,8479345,D,20242025,L,89,Jakob Chychrun,18,1.26,WSH,1249.48
6,1.56,0.0,0,0.0,0,23,3,0.78,57,14.82,Lazar,0,0,2,0,4,6,0,8477508,C,20242025,R,6,Curtis Lazar,2,0.52,NJD,601.73
15,2.02,0.0,0,0.0,0,34,21,2.83,79,10.67,Smith,0,0,1,0,11,13,0,8482062,R,20242025,L,23,Cole Smith,7,0.94,NSH,783.23
4,3.63,0.0,0,0.0,0,5,3,2.72,0,0.0,Del Bel Belluz,0,0,0,0,4,4,0,8483432,C,20242025,L,2,Luca Del Bel Belluz,1,0.9,CBJ,791.4
28,2.68,0.0,1,1.0,3,38,24,2.3,10,0.95,Holmstrom,0,1,4,1,36,42,0,8481601,R,20242025,L,23,Simon Holmstrom,5,0.47,NYI,987.13
3,1.03,0.0,0,0.0,0,18,11,3.78,32,11.02,Aube-Kubel,1,0,0,0,9,10,0,8477979,R,20242025,R,9,Nicolas Aube-Kubel,8,2.75,BUF,580.72
19,2.06,1.0,0,1.0,0,33,25,2.71,45,4.88,Fabbri,1,0,1,0,15,17,0,8477952,C,20242025,L,20,Robby Fabbri,12,1.3,ANA,1005.72
4,8.52, ,0, ,0,2,6,12.78,1,2.13,Hakanpää,0,0,0,0,0,0,0,8475825,D,20242025,R,3,Jani Hakanpää,0,0.0,TOR,845.0
45,4.12,1.0,1,2.0,0,45,38,3.48,17,1.55,Dvorak,2,3,1,1,21,28,0,8477989,C,20242025,L,25,Christian Dvorak,11,1.0,MTL,872.97
21,1.51,0.0,2,2.0,2,44,44,3.18,30,2.17,Buchnevich,0,8,0,0,34,42,0,8477402,L,20242025,L,44,Pavel Buchnevich,7,0.5,STL,1130.77
19,2.03,1.0,1,2.0,1,40,21,2.24,70,7.48,Kasper,0,1,0,0,21,22,0,8483464,C,20242025,L,21,Marco Kasper,7,0.74,DET,841.15
34,2.11,0.0,0,0.0,0,46,53,3.28,35,2.17,Granlund,2,3,5,1,36,47,0,8475798,C,20242025,L,56,Mikael Granlund,13,0.8,SJS,1260.89
7,1.18,0.0,0,0.0,1,30,19,3.22,13,2.2,Engvall,0,0,1,0,9,10,0,8478115,L,20242025,L,14,Pierre Engvall,4,0.67,NYI,706.3
41,2.83,3.0,1,4.0,3,46,46,3.17,135,9.31,Wilson,0,2,5,2,50,59,1,8476880,R,20242025,R,46,Tom Wilson,11,0.75,WSH,1133.6
27,1.89,1.0,1,2.0,0,44,37,2.6,28,1.96,Garland,0,2,2,4,41,49,1,8478856,R,20242025,R,41,Conor Garland,15,1.05,VAN,1163.65
4,3.77,0.0,0,0.0,0,8,5,4.72,4,3.77,Tynan,0,0,1,0,2,3,0,8476391,C,20242025,R,1,T.J. Tynan,0,0.0,COL,476.37
37,3.17,1.0,3,4.0,2,46,24,2.05,86,7.37,Howden,2,2,0,0,25,29,1,8479353,C,20242025,L,18,Brett Howden,17,1.45,VGK,912.67
21,2.11,1.0,1,2.0,1,36,42,4.22,71,7.14,Barbashev,3,2,1,2,26,34,1,8477964,C,20242025,L,23,Ivan Barbashev,12,1.2,VGK,993.66
5,2.74,0.0,0,0.0,0,8,3,1.64,2,1.09,Smith,0,1,0,0,4,5,0,8480883,D,20242025,L,7,Ty Smith,1,0.54,CAR,819.87
85,5.07,5.0,0,5.0,0,42,30,1.78,20,1.19,Gavrikov,0,0,5,0,22,27,0,8478882,D,20242025,L,55,Vladislav Gavrikov,14,0.83,LAK,1436.78
38,2.87,1.0,1,2.0,4,46,30,2.27,58,4.39,Hertl,0,3,7,1,41,52,0,8476881,C,20242025,L,35,Tomas Hertl,19,1.43,VGK,1033.89
18,1.38,0.0,0,0.0,4,47,30,2.3,27,2.07,Toffoli,2,4,4,2,28,41,0,8475726,C,20242025,R,56,Tyler Toffoli,13,1.0,SJS,994.78
58,5.21,0.0,0,0.0,1,40,34,3.05,29,2.6,Timmins,0,0,1,1,22,24,0,8479982,D,20242025,R,43,Conor Timmins,9,0.8,TOR,1000.65
17,1.56,0.0,1,1.0,1,44,20,1.84,262,24.13,Sherwood,0,1,2,1,37,41,0,8480748,L,20242025,R,36,Kiefer Sherwood,17,1.56,VAN,888.09
69,4.7,1.0,0,1.0,1,44,44,2.99,70,4.77,Evans,2,5,0,1,28,36,0,8482858,D,20242025,L,41,Ryker Evans,7,0.47,SEA,1200.43
22,1.85,1.0,3,4.0,4,42,46,3.88,24,2.02,Hintz,1,3,4,0,30,38,0,8478449,C,20242025,L,33,Roope Hintz,12,1.01,DAL,1014.21
27,2.71,0.0,0,0.0,2,45,31,3.11,98,9.85,Podkolzin,2,1,0,0,29,32,0,8481617,R,20242025,L,19,Vasily Podkolzin,12,1.2,EDM,795.93
18,2.26,0.0,0,0.0,1,39,11,1.38,42,5.28,Robertson,0,2,3,1,28,34,0,8481582,L,20242025,L,29,Nicholas Robertson,10,1.25,TOR,733.3
30,3.68,0.0,2,2.0,1,47,23,2.82,75,9.2,Barron,1,0,2,0,24,28,0,8480289,C,20242025,L,20,Morgan Barron,18,2.2,WPG,624.27
0,0.0, ,0, ,0,3,0,0.0,4,6.88,McGroarty,0,0,0,0,0,0,0,8483487,R,20242025,L,1,Rutger McGroarty,1,1.72,PIT,697.0
6,0.62,0.0,0,0.0,1,40,35,3.66,9,0.94,Smith,2,0,4,0,25,31,0,8484227,C,20242025,R,44,Will Smith,6,0.62,SJS,858.65
28,2.58,0.0,2,2.0,0,45,26,2.39,6,0.55,Copp,0,0,1,1,19,22,0,8477429,C,20242025,L,15,Andrew Copp,16,1.47,DET,867.93
16,2.53,0.0,2,2.0,2,32,22,3.48,34,5.38,Lizotte,0,0,0,0,14,14,0,8481481,C,20242025,L,11,Blake Lizotte,6,0.94,PIT,710.65
30,4.7,0.0,0,0.0,1,28,31,4.86,5,0.78,Cholowski,2,0,0,0,7,9,0,8479395,D,20242025,L,23,Dennis Cholowski,6,0.94,NYI,819.78
36,2.69,0.0,0,0.0,2,41,33,2.46,39,2.91,Rust,2,5,2,3,40,52,2,8475810,R,20242025,R,24,Bryan Rust,11,0.82,PIT,1174.43
10,6.57, ,0, ,0,7,4,2.62,9,5.91,Benning,0,0,0,0,2,2,0,8476988,D,20242025,R,6,Matthew Benning,1,0.65,SJS,782.42
20,2.19,0.0,2,2.0,0,37,21,2.3,35,3.84,Appleton,0,0,1,1,16,18,0,8478891,C,20242025,R,20,Mason Appleton,9,0.98,WPG,885.62
