blockedShots,blockedShotsPer60,emptyNetAssists,emptyNetGoals,emptyNetPoints,firstGoals,gamesPlayed,giveaways,giveawaysPer60,hits,hitsPer60,lastName,missedShotCrossbar,missedShotGoalpost,missedShotOverNet,missedShotShort,missedShotWideOfNet,missedShots,otGoals,playerId,positionCode,seasonId,shootsCatches,shotAttemptsBlocked,skaterFullName,takeaways,takeawaysPer60,teamAbbrevs,timeOnIcePerGame
0,0.0,,0,,1,1,3,6.68,1,2.22,Kucherov,0,0,0,0,1,1,0,8476453,R,20242025,L,3,Nikita Kucherov,0,0.0,TBL,1615.0
4,10.08,,0,,0,1,3,7.56,1,2.52,Hedman,0,0,0,0,1,1,0,8475167,D,20242025,L,2,Victor Hedman,0,0.0,TBL,1428.0
1,2.49,,0,,0,1,0,0.0,1,2.49,Raddysh,0,0,0,0,0,0,0,8478178,D,20242025,R,1,Darren Raddysh,0,0.0,TBL,1445.0
1,3.19,,0,,0,1,1,3.19,0,0.0,Savard,0,0,0,0,1,1,0,8475233,D,20242025,R,1,David Savard,0,0.0,MTL,1127.0
1,4.48,,0,,0,1,0,0.0,4,17.93,Dach,0,0,0,0,0,0,0,8481523,C,20242025,R,1,Kirby Dach,0,0.0,MTL,803.0
0,0.0,,0,,0,1,0,0.0,2,8.54,Anderson,0,0,0,0,0,0,0,8476981,R,20242025,R,0,Josh Anderson,0,0.0,MTL,843.0
0,0.0,,0,,0,1,0,0.0,1,3.42,Paul,0,0,0,0,0,0,0,8477426,L,20242025,L,1,Nick Paul,0,0.0,TBL,1051.0
0,0.0,,0,,0,1,1,3.19,1,3.19,McDonagh,0,0,0,0,0,0,0,8474151,D,20242025,L,0,Ryan McDonagh,0,0.0,TBL,1126.0
2,10.57,0.0,0,0.0,0,1,0,0.0,2,10.57,Eyssimont,0,0,0,0,2,2,0,8479591,C,20242025,L,0,Michael Eyssimont,0,0.0,TBL,681.0
0,0.0,,0,,0,1,0,0.0,2,11.66,Chaffee,0,0,0,0,2,2,0,8482070,R,20242025,R,0,Mitchell Chaffee,0,0.0,TBL,617.0
1,8.39,,0,,0,1,1,8.39,0,0.0,Atkinson,0,0,0,0,0,0,0,8474715,R,20242025,R,0,Cam Atkinson,0,0.0,TBL,429.0
2,7.07,0.0,0,0.0,0,1,1,3.53,2,7.07,Armia,0,0,0,0,1,1,0,8476469,R,20242025,R,5,Joel Armia,1,3.53,MTL,1018.0
0,0.0,,0,,0,1,0,0.0,1,8.63,Beck,0,0,0,0,1,1,0,8483424,C,20242025,R,0,Owen Beck,0,0.0,MTL,417.0
0,0.0,,0,,0,1,1,2.8,1,2.8,Guhle,0,0,0,0,1,1,0,8482087,D,20242025,L,2,Kaiden Guhle,0,0.0,MTL,1284.0
1,3.67,,0,,0,1,1,3.67,2,7.35,Evans,0,0,0,0,1,1,0,8478133,C,20242025,R,0,Jake Evans,0,0.0,MTL,979.0
2,5.7,0.0,0,0.0,0,1,1,2.85,3,8.56,Hutson,0,0,0,0,0,0,0,8483457,D,20242025,L,2,Lane Hutson,0,0.0,MTL,1261.0
0,0.0,,0,,0,1,1,4.23,1,4.23,Dvorak,0,0,0,0,0,0,0,8477989,C,20242025,L,1,Christian Dvorak,0,0.0,MTL,851.0
0,0.0,0.0,0,0.0,0,1,2,8.38,0,0.0,Lilleberg,0,0,0,0,3,3,0,8482929,D,20242025,L,0,Emil Lilleberg,0,0.0,TBL,859.0
0,0.0,,0,,0,1,2,6.03,0,0.0,Suzuki,0,0,0,0,1,1,0,8480018,C,20242025,R,0,Nick Suzuki,0,0.0,MTL,1194.0
0,0.0,,0,,0,1,0,0.0,1,4.17,Newhook,0,0,0,0,0,0,0,8481618,C,20242025,L,0,Alex Newhook,2,8.34,MTL,863.0
1,4.5,,0,,0,1,0,0.0,2,9.0,Xhekaj,0,0,0,0,1,1,0,8482964,D,20242025,L,0,Arber Xhekaj,0,0.0,MTL,800.0
1,3.01,,0,,0,1,0,0.0,0,0.0,Point,0,1,0,0,0,1,0,8478010,C,20242025,R,3,Brayden Point,0,0.0,TBL,1195.0
1,3.28,,0,,0,1,0,0.0,0,0.0,Guentzel,0,0,0,0,3,3,0,8477404,C,20242025,L,0,Jake Guentzel,0,0.0,TBL,1097.0
0,0.0,0.0,0,0.0,0,1,0,0.0,0,0.0,Laine,0,0,0,0,1,1,0,8479339,L,20242025,R,1,Patrik Laine,0,0.0,MTL,878.0
1,2.62,,0,,0,1,1,2.62,1,2.62,Hagel,0,0,0,0,1,1,0,8479542,L,20242025,L,0,Brandon Hagel,0,0.0,TBL,1369.0
0,0.0,,0,,0,1,0,0.0,0,0.0,Geekie,0,0,0,0,0,0,0,8483447,C,20242025,L,0,Conor Geekie,0,0.0,TBL,669.0
1,7.75,,0,,0,1,0,0.0,1,7.75,Glendening,0,0,0,0,0,0,0,8476822,C,20242025,R,0,Luke Glendening,0,0.0,TBL,464.0
1,5.28,,0,,0,1,0,0.0,0,0.0,Gallagher,0,0,0,0,2,2,0,8475848,R,20242025,R,0,Brendan Gallagher,0,0.0,MTL,681.0
1,3.66,,0,,0,1,2,7.33,3,11.0,Slafkovsky,0,0,0,0,2,2,0,8483515,L,20242025,L,1,Juraj Slafkovsky,0,0.0,MTL,981.0
0,0.0,,0,,0,1,0,0.0,0,0.0,Caufield,0,0,0,0,0,0,0,8481540,R,20242025,R,1,Cole Caufield,0,0.0,MTL,916.0
0,0.0,,0,,0,1,0,0.0,4,18.67,Girgensons,0,0,0,0,0,0,0,8476878,C,20242025,L,0,Zemgus Girgensons,0,0.0,TBL,771.0
2,6.42,,0,,0,1,2,6.42,3,9.63,Crozier,0,0,0,0,0,0,0,8481719,D,20242025,R,1,Maxwell Crozier,0,0.0,TBL,1121.0
1,2.79,0.0,0,0.0,0,1,2,5.58,0,0.0,Cirelli,0,1,0,0,2,3,0,8478519,C,20242025,L,0,Anthony Cirelli,0,0.0,TBL,1289.0
1,2.99,0.0,0,0.0,0,1,0,0.0,0,0.0,Carrier,1,0,1,0,0,2,0,8478851,D,20242025,R,0,Alexandre Carrier,0,0.0,"NSH,MTL",1202.0
