assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
0,1,1, ,0,1,1,Kucherov,0,0,8476453,1,1,1.0,R,0,0,20242025,0,0,0.25,L,4,Nikita Kucherov,TBL,1615.0
0,0,0, ,0,1,0,Hedman,0,0,8475167,-1,0,0.0,D,0,0,20242025,0,0,0.0,L,3,Victor Hedman,TBL,1428.0
0,0,0, ,0,1,0,Raddysh,0,0,8478178,-1,0,0.0,D,0,0,20242025,0,0,0.0,R,2,Darren Raddysh,TBL,1445.0
0,0,0, ,0,1,0,Savard,0,0,8475233,-1,0,0.0,D,0,0,20242025,0,0,0.0,R,2,David Savard,MTL,1127.0
0,0,0,0.25,0,1,0,Dach,0,0,8481523,0,0,0.0,C,0,0,20242025,0,0,0.0,R,1,Kirby Dach,MTL,803.0
0,0,0,0.5,0,1,0,Anderson,0,0,8476981,0,0,0.0,R,0,0,20242025,0,0, ,R,0,Josh Anderson,MTL,843.0
0,0,0,0.55555,0,1,0,Paul,0,0,8477426,0,0,0.0,L,0,0,20242025,0,0,0.0,L,2,Nick Paul,TBL,1051.0
0,0,0, ,0,1,0,McDonagh,0,0,8474151,1,0,0.0,D,0,0,20242025,0,0, ,L,0,Ryan McDonagh,TBL,1126.0
1,0,1, ,0,1,0,Eyssimont,0,0,8479591,0,1,1.0,C,0,0,20242025,0,0,0.0,L,2,Michael Eyssimont,TBL,681.0
0,1,1,0.25,0,1,1,Guentzel,0,0,8477404,0,1,1.0,C,0,0,20242025,0,0,0.2,L,5,Jake Guentzel,TBL,1097.0
1,0,1, ,0,1,0,Lilleberg,0,0,8482929,0,1,1.0,D,0,0,20242025,0,0,0.0,L,1,Emil Lilleberg,TBL,859.0
1,0,1, ,0,1,0,Armia,0,0,8476469,1,1,1.0,R,0,0,20242025,0,0,0.0,R,3,Joel Armia,MTL,1018.0
0,0,0,0.58333,0,1,0,Point,0,0,8478010,-1,0,0.0,C,0,0,20242025,0,0,0.0,R,5,Brayden Point,TBL,1195.0
0,1,1,0.44444,0,1,1,Newhook,0,0,8481618,0,1,1.0,C,0,0,20242025,0,0,1.0,L,1,Alex Newhook,MTL,863.0
0,1,1,0.63157,1,1,1,Evans,0,0,8478133,1,1,1.0,C,0,0,20242025,0,0,0.5,R,2,Jake Evans,MTL,979.0
1,0,0, ,0,1,0,Hutson,0,2,8483457,0,1,1.0,D,0,1,20242025,0,0,0.0,L,1,Lane Hutson,MTL,1261.0
0,0,0,0.41666,0,1,0,Suzuki,0,0,8480018,0,0,0.0,C,0,0,20242025,0,0,0.0,R,1,Nick Suzuki,MTL,1194.0
0,0,0,0.45454,0,1,0,Dvorak,0,2,8477989,-1,0,0.0,C,0,0,20242025,0,0, ,L,0,Christian Dvorak,MTL,851.0
0,0,0, ,0,1,0,Xhekaj,0,0,8482964,-1,0,0.0,D,0,0,20242025,0,0,0.0,L,2,Arber Xhekaj,MTL,800.0
0,0,0, ,0,1,0,Beck,0,0,8483424,0,0,0.0,C,0,0,20242025,0,0, ,R,0,Owen Beck,MTL,417.0
0,0,0, ,0,1,0,Guhle,0,0,8482087,1,0,0.0,D,0,0,20242025,0,0, ,L,0,Kaiden Guhle,MTL,1284.0
0,0,0,1.0,0,1,0,Chaffee,0,0,8482070,-1,0,0.0,R,0,0,20242025,0,0, ,R,0,Mitchell Chaffee,TBL,617.0
0,0,0, ,0,1,0,Atkinson,0,0,8474715,-1,0,0.0,R,0,0,20242025,0,0, ,R,0,Cam Atkinson,TBL,429.0
2,0,1, ,0,1,0,Laine,0,0,8479339,0,2,2.0,L,0,1,20242025,0,0,0.0,R,3,Patrik Laine,MTL,878.0
0,0,0, ,0,1,0,Hagel,0,0,8479542,1,0,0.0,L,0,0,20242025,0,0,0.0,L,3,Brandon Hagel,TBL,1369.0
0,0,0, ,0,1,0,Geekie,0,2,8483447,0,0,0.0,C,0,0,20242025,0,0,0.0,L,1,Conor Geekie,TBL,669.0
0,0,0,0.5,0,1,0,Glendening,0,0,8476822,0,0,0.0,C,0,0,20242025,0,0,0.0,R,1,Luke Glendening,TBL,464.0
0,0,0, ,0,1,0,Gallagher,0,2,8475848,-1,0,0.0,R,0,0,20242025,0,0, ,R,0,Brendan Gallagher,MTL,681.0
1,0,1,0.5,0,1,0,Cirelli,0,0,8478519,1,1,1.0,C,0,0,20242025,0,0,0.0,L,3,Anthony Cirelli,TBL,1289.0
0,0,0, ,0,1,0,Caufield,0,0,8481540,0,0,0.0,R,0,0,20242025,0,0,0.0,R,1,Cole Caufield,MTL,916.0
0,0,0, ,0,1,0,Girgensons,0,0,8476878,0,0,0.0,C,0,0,20242025,0,0,0.0,L,1,Zemgus Girgensons,TBL,771.0
0,0,0, ,0,1,0,Crozier,0,0,8481719,1,0,0.0,D,0,0,20242025,0,0,0.0,R,1,Maxwell Crozier,TBL,1121.0
1,0,1, ,0,1,0,Carrier,0,0,8478851,2,1,1.0,D,0,0,20242025,0,0,0.0,R,1,Alexandre Carrier,NSH,1202.0
0,0,0, ,0,1,1,Slafkovsky,0,0,8483515,0,1,1.0,L,1,1,20242025,0,0,0.25,L,4,Juraj Slafkovsky,MTL,981.0
0,0,0, ,0,1,0,Matheson,0,2,8476875,-1,0,0.0,D,0,0,20242025,0,0, ,L,0,Mike Matheson,MTL,1422.0
0,0,0, ,0,1,0,Perbix,0,2,8480246,0,0,0.0,D,0,0,20242025,0,0,0.0,R,1,Nick Perbix,TBL,727.0
0,0,0,0.5,0,1,0,Gaudette,0,0,8478874,0,0,0.0,R,0,0,20242025,0,0,0.0,R,1,Adam Gaudette,OTT,749.0
0,1,1, ,0,1,1,Kaliyev,0,0,8481560,1,1,1.0,R,0,0,20242025,0,0,0.5,L,2,Arthur Kaliyev,NYR,676.0
1,1,1, ,1,1,1,Lafrenière,0,0,8482109,1,2,2.0,L,0,1,20242025,0,0,1.0,L,1,Alexis Lafrenière,NYR,959.0
1,0,1,0.5,0,1,0,Carrick,0,0,8475842,1,1,1.0,C,0,0,20242025,0,0, ,R,0,Sam Carrick,NYR,718.0
0,0,0, ,0,1,0,Kreider,0,0,8475184,1,0,0.0,L,0,0,20242025,0,0,0.0,L,1,Chris Kreider,NYR,1026.0
1,0,0,0.77777,0,1,0,Zibanejad,0,0,8476459,0,1,1.0,C,0,1,20242025,0,0,0.0,R,2,Mika Zibanejad,NYR,1037.0
0,0,0, ,0,1,1,Panarin,0,0,8478550,1,1,1.0,L,1,1,20242025,0,0,0.2,R,5,Artemi Panarin,NYR,1103.0
1,0,0, ,0,1,0,Miller,0,0,8480817,0,1,1.0,D,0,1,20242025,0,0, ,L,0,K'Andre Miller,NYR,1384.0
0,0,0, ,0,1,0,Matinpalo,0,2,8484321,-2,0,0.0,D,0,0,20242025,0,0,0.0,R,2,Nikolas Matinpalo,OTT,850.0
0,1,1, ,0,1,1,Rempe,0,4,8482460,1,1,1.0,C,0,0,20242025,0,0,0.25,R,4,Matt Rempe,NYR,552.0
