assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
35,9,30,0.39024,5,45,16,Necas,0,10,8480039,2,51,1.13333,C,7,21,20242025,0,0,0.15384,R,104,Martin Necas,CAR,1091.7333
15,5,14, ,0,43,5,Heiskanen,0,10,8480036,10,20,0.46511,D,0,6,20242025,0,0,0.05208,L,96,Miro Heiskanen,DAL,1519.7674
21,1,14, ,0,46,1,Grzelcyk,0,6,8476891,-14,22,0.47826,D,0,8,20242025,0,0,0.01818,L,55,Matt Grzelcyk,PIT,1211.1956
1,1,2, ,0,11,1,Tucker,0,16,8481006,3,2,0.18181,D,0,0,20242025,0,0,0.11111,L,9,Tyler Tucker,STL,710.2727
7,3,9,0.57407,2,43,4,Carrick,1,34,8475842,-1,11,0.25581,C,0,0,20242025,1,2,0.09302,R,43,Sam Carrick,NYR,663.9069
0,0,0,1.0,0,2,0,Hryckowian,0,0,8484829,0,0,0.0,C,0,0,20242025,0,0, ,L,0,Justin Hryckowian,DAL,400.0
5,11,16,0.26666,3,37,12,McMann,0,12,8482259,5,17,0.45945,C,1,1,20242025,0,0,0.13636,L,88,Bobby McMann,TOR,852.6486
0,1,1,0.46666,0,6,1,Laczynski,0,6,8479550,0,1,0.16666,C,0,0,20242025,0,0,0.5,R,2,Tanner Laczynski,VGK,520.8333
8,0,8, ,0,38,0,Thrun,0,15,8481567,-7,8,0.21052,D,0,0,20242025,0,0,0.0,L,34,Henry Thrun,SJS,1013.3421
1,1,1, ,0,15,1,Johnson,0,9,8473446,-2,2,0.13333,D,0,0,20242025,0,1,0.2,R,5,Erik Johnson,PHI,802.0666
0,0,0,1.0,0,2,0,Malatesta,0,0,8482744,-1,0,0.0,L,0,0,20242025,0,0, ,L,0,James Malatesta,CBJ,634.0
7,3,9,0.18181,0,44,3,Holtz,0,6,8482125,-5,10,0.22727,R,0,1,20242025,0,0,0.05263,R,57,Alexander Holtz,VGK,691.2272
18,8,19, ,3,39,12,Chychrun,1,30,8479345,17,30,0.76923,D,4,11,20242025,0,0,0.13483,L,89,Jakob Chychrun,WSH,1244.4358
1,1,2,0.5238,0,21,1,Lazar,0,6,8477508,-2,2,0.09523,C,0,0,20242025,0,0,0.06666,R,15,Curtis Lazar,NJD,595.6666
3,2,4,0.44444,0,34,2,Smith,0,20,8482062,-9,5,0.14705,R,0,0,20242025,0,1,0.06896,L,29,Cole Smith,NSH,783.2352
2,1,2,0.34375,0,3,1,Del Bel Belluz,0,0,8483432,2,3,1.0,C,0,1,20242025,0,0,0.33333,L,3,Luca Del Bel Belluz,CBJ,781.3333
13,8,18,0.0,0,37,9,Holmstrom,0,6,8481601,2,22,0.59459,R,1,3,20242025,0,1,0.21428,L,42,Simon Holmstrom,NYI,991.081
1,1,2,0.6,0,18,1,Aube-Kubel,0,17,8477979,-3,2,0.11111,R,0,0,20242025,0,0,0.05555,R,18,Nicolas Aube-Kubel,BUF,580.7222
4,6,10,0.46218,0,31,6,Fabbri,0,14,8477952,-8,10,0.32258,C,0,0,20242025,0,0,0.13043,L,46,Robby Fabbri,ANA,1014.4516
0,0,0, ,0,2,0,Hakanpää,0,0,8475825,-1,0,0.0,D,0,0,20242025,0,0,0.0,R,2,Jani Hakanpää,TOR,845.0
9,3,11,0.55769,0,43,3,Dvorak,0,6,8477989,-6,12,0.27906,C,0,1,20242025,0,0,0.0566,L,53,Christian Dvorak,MTL,871.1395
18,10,22,0.3619,0,43,11,Buchnevich,0,11,8477402,3,29,0.67441,L,1,6,20242025,0,1,0.13253,L,83,Pavel Buchnevich,STL,1134.0465
7,2,7,0.47826,0,38,4,Kasper,0,12,8483464,-10,11,0.28947,C,2,4,20242025,0,0,0.06896,L,58,Marco Kasper,DET,849.2368
25,7,23,0.47302,1,44,12,Granlund,0,18,8475798,-7,37,0.8409,C,4,13,20242025,1,1,0.10714,L,112,Mikael Granlund,SJS,1268.0681
4,3,7,0.36363,1,28,3,Engvall,0,10,8478115,-4,7,0.25,L,0,0,20242025,0,0,0.1,L,30,Pierre Engvall,NYI,719.6071
14,10,20,0.375,3,44,19,Wilson,1,38,8476880,9,33,0.75,R,9,12,20242025,0,1,0.19191,R,99,Tom Wilson,WSH,1133.2272
19,7,20,0.33333,2,43,11,Garland,1,21,8478856,-4,30,0.69767,R,4,10,20242025,0,0,0.11458,R,96,Conor Garland,VAN,1164.3023
1,0,1,0.38888,0,8,0,Tynan,0,4,8476391,-1,1,0.125,C,0,0,20242025,0,0,0.0,R,4,T.J. Tynan,COL,476.375
6,14,20,0.50303,3,44,15,Howden,1,20,8479353,8,21,0.47727,C,0,0,20242025,1,1,0.20547,L,73,Brett Howden,VGK,912.9318
15,14,29,0.36363,3,34,15,Barbashev,1,6,8477964,10,30,0.88235,C,1,1,20242025,0,0,0.26315,L,57,Ivan Barbashev,VGK,1000.8235
1,0,1, ,0,8,1,Smith,0,4,8480883,1,2,0.25,D,1,1,20242025,0,0,0.07142,L,14,Ty Smith,CAR,819.875
14,2,15, ,0,41,2,Gavrikov,0,10,8478882,15,16,0.39024,D,0,0,20242025,0,1,0.04081,L,49,Vladislav Gavrikov,LAK,1434.5853
19,5,17,0.57446,2,44,12,Hertl,0,12,8476881,-9,31,0.70454,C,7,14,20242025,0,0,0.11764,L,102,Tomas Hertl,VGK,1029.0227
13,13,19,0.46666,1,46,16,Toffoli,0,6,8475726,-13,29,0.63043,C,3,10,20242025,0,0,0.125,R,128,Tyler Toffoli,SJS,994.7173
6,1,7, ,0,38,1,Timmins,0,18,8479982,3,7,0.18421,D,0,0,20242025,0,0,0.02631,R,38,Conor Timmins,TOR,1008.8157
8,12,19,0.45714,3,43,13,Sherwood,0,16,8480748,2,21,0.48837,L,0,1,20242025,1,1,0.15662,R,83,Kiefer Sherwood,VAN,887.0697
14,4,16, ,0,43,5,Evans,0,16,8482858,3,19,0.44186,D,1,3,20242025,0,0,0.11111,L,45,Ryker Evans,SEA,1198.7441
8,15,21,0.53613,4,42,19,Hintz,0,16,8478449,3,27,0.64285,C,4,6,20242025,0,0,0.19387,L,98,Roope Hintz,DAL,1014.2142
11,6,17,0.23684,2,44,6,Podkolzin,0,18,8481617,13,17,0.38636,R,0,0,20242025,0,0,0.08333,L,72,Vasily Podkolzin,EDM,795.7272
4,7,11,0.66666,0,37,7,Robertson,0,6,8481582,1,11,0.29729,L,0,0,20242025,0,0,0.125,L,56,Nicholas Robertson,TOR,732.8378
3,2,5,0.6129,0,45,4,Barron,0,8,8480289,4,7,0.15555,C,0,0,20242025,2,2,0.07692,L,52,Morgan Barron,WPG,631.8444
0,0,0,0.0,0,3,0,McGroarty,0,0,8483487,-1,0,0.0,R,0,0,20242025,0,0,0.0,L,2,Rutger McGroarty,PIT,697.0
9,4,11,0.31775,1,38,6,Smith,0,6,8484227,-15,15,0.39473,C,2,4,20242025,0,0,0.10909,R,55,Will Smith,SJS,854.0526
9,6,15,0.63636,1,37,6,Appleton,0,6,8478891,8,15,0.4054,C,0,0,20242025,0,0,0.1,R,60,Mason Appleton,WPG,885.6216
4,6,10,0.45918,0,30,8,Lizotte,0,18,8481481,5,12,0.4,C,1,1,20242025,1,1,0.27586,L,29,Blake Lizotte,PIT,712.2666
5,3,7, ,0,27,3,Cholowski,0,4,8479395,3,8,0.29629,D,0,1,20242025,0,0,0.13043,L,23,Dennis Cholowski,NYI,816.9629
17,15,28,0.6,4,39,17,Rust,2,12,8475810,-22,34,0.87179,R,2,6,20242025,0,0,0.16037,R,106,Bryan Rust,PIT,1180.8974
0,0,0, ,0,7,0,Benning,0,4,8476988,-5,0,0.0,D,0,0,20242025,0,0,0.0,R,7,Matthew Benning,SJS,782.4285
10,8,18,0.51548,1,43,8,Copp,0,6,8477429,4,18,0.4186,C,0,0,20242025,0,0,0.16,L,50,Andrew Copp,DET,867.0232
7,6,12,0.46931,0,40,7,Hartman,0,32,8477451,-6,14,0.35,R,1,2,20242025,0,0,0.07446,R,94,Ryan Hartman,MIN,910.575
0,0,0, ,0,4,0,Leddy,0,0,8475181,-3,0,0.0,D,0,0,20242025,0,0,0.0,L,4,Nick Leddy,STL,1329.25
1,3,3,0.41379,0,14,3,Svechkov,0,2,8482768,-3,4,0.28571,C,0,1,20242025,0,0,0.16666,L,18,Fedor Svechkov,NSH,726.2142
