blockedShots,blockedShotsPer60,emptyNetAssists,emptyNetGoals,emptyNetPoints,firstGoals,gamesPlayed,giveaways,giveawaysPer60,hits,hitsPer60,lastName,missedShotCrossbar,missedShotGoalpost,missedShotOverNet,missedShotShort,missedShotWideOfNet,missedShots,otGoals,playerId,positionCode,seasonId,shootsCatches,shotAttemptsBlocked,skaterFullName,takeaways,takeawaysPer60,teamAbbrevs,timeOnIcePerGame
15,1.09,0.0,1,1.0,0,45,46,3.37,34,2.49,Necas,2,2,4,2,51,61,0,8480039,C,20242025,R,52,Martin Necas,15,1.09,CAR,1091.73
73,4.02,0.0,1,1.0,0,43,53,2.91,14,0.77,Heiskanen,2,4,4,3,35,48,0,8480036,D,20242025,L,106,Miro Heiskanen,26,1.43,DAL,1519.76
61,3.94,1.0,0,1.0,0,46,41,2.64,21,1.35,Grzelcyk,1,4,1,1,30,37,0,8476891,D,20242025,L,56,Matt Grzelcyk,15,0.96,PIT,1211.19
6,2.76,0.0,0,0.0,0,11,10,4.6,22,10.13,Tucker,0,2,0,0,3,5,0,8481006,D,20242025,L,10,Tyler Tucker,4,1.84,STL,710.27
22,2.77,0.0,0,0.0,1,43,19,2.39,73,9.2,Carrick,0,3,1,0,12,16,1,8475842,C,20242025,R,23,Sam Carrick,8,1.0,NYR,663.9
0,0.0,,0,,0,2,2,9.0,3,13.5,Hryckowian,0,0,0,0,1,1,0,8484829,C,20242025,L,0,Justin Hryckowian,0,0.0,DAL,400.0
11,1.25,0.0,0,0.0,3,37,16,1.82,62,7.07,McMann,0,0,0,1,30,31,0,8482259,C,20242025,L,23,Bobby McMann,14,1.59,TOR,852.64
3,3.45,,0,,1,6,0,0.0,2,2.3,Laczynski,0,0,0,0,2,2,0,8479550,C,20242025,R,1,Tanner Laczynski,0,0.0,VGK,520.83
43,4.02,0.0,0,0.0,0,38,20,1.86,28,2.61,Thrun,0,0,0,0,16,16,0,8481567,D,20242025,L,27,Henry Thrun,9,0.84,SJS,1013.34
10,2.99,0.0,0,0.0,1,15,10,2.99,23,6.88,Johnson,0,0,0,0,5,5,0,8473446,D,20242025,R,7,Erik Johnson,6,1.79,PHI,802.06
1,2.83,,0,,0,2,4,11.35,6,17.03,Malatesta,0,0,0,0,1,1,0,8482744,L,20242025,L,0,James Malatesta,1,2.83,CBJ,634.0
13,1.53,0.0,0,0.0,0,44,28,3.31,33,3.9,Holtz,1,5,0,3,23,32,0,8482125,R,20242025,R,20,Alexander Holtz,3,0.35,VGK,691.22
50,3.7,1.0,1,2.0,1,39,43,3.18,27,2.0,Chychrun,1,4,3,4,52,64,1,8479345,D,20242025,L,88,Jakob Chychrun,16,1.18,WSH,1244.43
5,1.43,0.0,0,0.0,0,21,3,0.86,55,15.82,Lazar,0,0,2,0,3,5,0,8477508,C,20242025,R,5,Curtis Lazar,2,0.57,NJD,595.66
15,2.02,0.0,0,0.0,0,34,21,2.83,79,10.67,Smith,0,0,1,0,11,13,0,8482062,R,20242025,L,23,Cole Smith,7,0.94,NSH,783.23
1,1.53,0.0,0,0.0,0,3,0,0.0,0,0.0,Del Bel Belluz,0,0,0,0,1,1,0,8483432,C,20242025,L,2,Luca Del Bel Belluz,0,0.0,CBJ,781.33
28,2.74,0.0,1,1.0,3,37,24,2.35,10,0.98,Holmstrom,0,1,4,1,35,41,0,8481601,R,20242025,L,22,Simon Holmstrom,5,0.49,NYI,991.08
3,1.03,0.0,0,0.0,0,18,11,3.78,32,11.02,Aube-Kubel,1,0,0,0,9,10,0,8477979,R,20242025,R,9,Nicolas Aube-Kubel,8,2.75,BUF,580.72
4,8.52,,0,,0,2,6,12.78,1,2.13,Hakanpää,0,0,0,0,0,0,0,8475825,D,20242025,R,3,Jani Hakanpää,0,0.0,TOR,845.0
41,3.94,1.0,1,2.0,0,43,37,3.55,16,1.53,Dvorak,2,1,1,1,20,25,0,8477989,C,20242025,L,25,Christian Dvorak,10,0.96,MTL,871.13
18,2.0,0.0,1,1.0,1,38,21,2.34,66,7.36,Kasper,0,1,0,0,20,21,0,8483464,C,20242025,L,21,Marco Kasper,7,0.78,DET,849.23
20,1.47,0.0,2,2.0,2,43,41,3.02,29,2.14,Buchnevich,0,8,0,0,33,41,0,8477402,L,20242025,L,44,Pavel Buchnevich,7,0.51,STL,1134.04
19,2.17,1.0,0,1.0,0,31,25,2.86,45,5.15,Fabbri,1,0,1,0,15,17,0,8477952,C,20242025,L,20,Robby Fabbri,10,1.14,ANA,1014.45
